=== Run information ===

Evaluator:    weka.attributeSelection.InfoGainAttributeEval 
Search:weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     train
Instances:    6388
Attributes:   343
[list of attributes omitted]
Evaluation mode:evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 343 label):
Information Gain Ranking Filter

Ranked attributes:
0.7803941754935592       1 Name
0.77618007334287904      5 EntryPointAddress
0.74691897511411136    318 DYNRELA
0.74691897511411136    294 DYNRELAENT
0.74547699353500256    157 .shstrtab_size
0.74415813490894512    316 DYNRELASZ
0.7403032754779088      80 .fini_size
0.73461556532356096    308 DYNFINI_ARRAYSZ
0.73461556532356096    322 DYNFINI_ARRAY
0.7321451660988024     298 DYNINIT_ARRAY
0.7321451660988024     314 DYNINIT_ARRAYSZ
0.71943985485980344     11 EntriesProgram
0.713881709403584      311 DYNCOUNT
0.71213431882184408    101 .init_size
0.7067462334953416       2 Identification
0.70503311250084768      3 MachineType
0.70494181740523896    266 STT_NOTYPE_STB_WEAK
0.70370485245565232     10 SizeProgramHeader
0.70370485245565232      9 HeaderSize
0.70370485245565232      6 ProgramHeaderOffset
0.70370485245565232     12 SizeSectionHeader
0.69625718641327272    273 STT_NOTYPE
0.68409008371425352    267 STB_WEAK
0.6543433339306576     315 DYNVERNEED
0.6543433339306576     297 DYNVERNEEDNUM
0.64622179043646776    272 STB_GLOBAL
0.64596113671404688    261 dynamic_s_c
0.64446847678175768    269 STT_FUNC
0.64418111171308936    270 STT_FUNC_STB_GLOBAL
0.63351597454009624    295 DYNFINI
0.63351597454009624    312 DYNINIT
0.6297546061305148     321 DYNDEBUG
0.6297546061305148     268 STT_NOTYPE_STB_LOCAL
0.6297546061305148     260 STB_LOCAL
0.62928863452347816    309 DYNNEEDED
0.62882357975491784    310 DYNSYMENT
0.62882357975491784    299 DYNSTRSZ
0.62882357975491784    306 DYNSYMTAB
0.62882357975491784    319 DYNPLTGOT
0.62882357975491784    300 DYNSTRTAB
0.62697243404945272    304 DYN
0.62697243404945272    323 DYNNULL
0.61748408577940816    342 HASH_SIZE
0.60949224375189728    301 DYNPLTREL
