Identification,MachineType,ProgramHeaderOffset,SectionHeaderOffset,Flags,HeaderSize,SizeProgramHeader,EntriesProgram,SizeSectionHeader,EntriesSection,StringTableIndex,.text_type,.text_size,.text_alignment,.bss_type,.bss_size,.bss_alignment,.comment_size,.comment_entsize,.data_type,.data_size,.data_alignment,.dynamic_type,.dynamic_size,.dynamic_entsize,.dynamic_table_index_link,.dynamic_alignment,.dynstr_type,.dynstr_size,.dynsym_type,.dynsym_size,.dynsym_entsize,.dynsym_table_index_link,.dynsym_info,.dynsym_alignment,.fini_type,.fini_size,.fini_alignment,.hash_type,.hash_table_index_link,.hash_alignment,.gnu.hash_type,.gnu.hash_size,.gnu.hash_entsize,.gnu.hash_table_index_link,.gnu.hash_alignment,.init_type,.init_size,.init_alignment,.got_type,.got_flags,.got_size,.got_entsize,.got_alignment,.interp_type,.interp_size,.plt_type,.plt_flags,.plt_size,.plt_entsize,.plt_alignment,.rodata_type,.rodata_flags,.rodata_size,.rodata_entsize,.rodata_alignment,.shstrtab_size,.strtab_size,.symtab_size,.symtab_entsize,.symtab_table_index_link,.symtab_info,.symtab_alignment,.sbss_type,.sbss_flags,.rel.dyn_type,.rel.plt_type,.rel.plt_flags,.got.plt_type,.got.plt_size,.got.plt_entsize,.got.plt_alignment,STB_LOCAL,dynamic_s_c,STT_OBJECT_STB_GLOBAL,STT_OBJECT_STB_WEAK,STT_NOTYPE_STB_WEAK,STB_WEAK,STT_NOTYPE_STB_LOCAL,STT_FUNC,STT_FUNC_STB_GLOBAL,STT_NOTYPE_STB_GLOBAL,STB_GLOBAL,STT_NOTYPE,STT_OBJECT,STT_FUNC_STB_WEAK,s_STT_FUNC_STB_LOCAL,symbol_tab,s_STT_FUNC_STB_WEAK,s_STT_FUNC,s_STB_LOCAL,s_STT_FUNC_STB_GLOBAL,s_STB_GLOBAL,s_STB_WEAK,s_STT_OBJECT_STB_WEAK,s_STT_OBJECT,s_STT_OBJECT_STB_LOCAL,s_STT_NOTYPE,s_STT_NOTYPE_STB_GLOBAL,s_STT_NOTYPE_STB_WEAK,s_STT_NOTYPE_STB_LOCAL,s_STT_OBJECT_STB_GLOBAL,DYNRELAENT,DYNFINI,DYNPLTRELSZ,DYNVERNEEDNUM,DYNINIT_ARRAY,DYNSTRSZ,DYNSTRTAB,DYNPLTREL,DYNRELENT,DYN,DYNJMPREL,DYNSYMTAB,DYNRPATH,DYNFINI_ARRAYSZ,DYNNEEDED,DYNSYMENT,DYNCOUNT,DYNINIT,DYNRELSZ,DYNINIT_ARRAYSZ,DYNVERNEED,DYNRELASZ,DYNREL,DYNRELA,DYNPLTGOT,DYNHASH,DYNDEBUG,DYNFINI_ARRAY,DYNNULL,R_386_GLOB_DAT,R_386_JUMP_SLOT,R_386_COPY,GOT_SIZE,HASH_SIZE,label
7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,64,1035672,0,64,56,9,64,29,28,PROGBITS,638754,16,NOBITS,23480,32,,,PROGBITS,34248,32,DYNAMIC,496.0,16,6,8,STRTAB,35923,DYNSYM,55032,24,6,1,8,PROGBITS,9,4,,,,GNU_HASH,18588,0,5,8,PROGBITS,26,4,PROGBITS,WA,8,8,8,PROGBITS,28,PROGBITS,AX,3408,16,16,PROGBITS,A,,0,32,258,,,,,,,,,,,,PROGBITS,1720,8,8,1,2293,601,2,5,7,1,1680,1680,4,2285,10,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,3,1,24,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1728,18588,?
7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,52,6112,0,52,32,9,40,31,28,PROGBITS,402,16,NOBITS,4,1,53.0,1.0,PROGBITS,8,4,DYNAMIC,,8,6,4,STRTAB,76,DYNSYM,80,16,6,1,4,PROGBITS,20,4,,,,GNU_HASH,32,4,5,4,PROGBITS,35,4,PROGBITS,WA,4,4,4,PROGBITS,19,PROGBITS,AX,48,4,16,PROGBITS,A,21.0,0,4,266,559.0,1104.0,16.0,30.0,47.0,4.0,,,REL,REL,AI,PROGBITS,20,4,4,1,5,1,0,1,1,1,2,2,0,3,2,1,0,4,69,0,13,16,9,17,5,0,12,8,13,4,5,4,4,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,22,1,1,1,1,0,1,0,1,0,1,1,1,1,2,0,24,32,?
7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,52,6544,0,52,32,9,40,31,28,PROGBITS,626,16,NOBITS,44,32,52.0,1.0,PROGBITS,8,4,DYNAMIC,248.0,8,6,4,STRTAB,290,DYNSYM,384,16,6,1,4,PROGBITS,20,4,,,,GNU_HASH,72,4,5,4,PROGBITS,35,4,PROGBITS,WA,4,4,4,PROGBITS,19,PROGBITS,AX,176,4,16,PROGBITS,A,85.0,0,4,266,755.0,1312.0,16.0,30.0,49.0,4.0,,,REL,REL,AI,PROGBITS,52,4,4,1,24,4,0,4,4,1,12,12,3,19,8,4,0,6,82,0,23,18,17,28,5,0,15,8,13,4,5,4,7,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,24,1,1,1,1,0,1,0,1,0,1,1,1,1,10,3,56,72,?
