Name,Identification,MachineType,EntryPointAddress,ProgramHeaderOffset,SectionHeaderOffset,Flags,HeaderSize,SizeProgramHeader,EntriesProgram,SizeSectionHeader,EntriesSection,StringTableIndex,.text_type,.text_size,.text_alignment,.bss_type,.bss_size,.bss_alignment,.comment_size,.comment_entsize,.data_type,.data_size,.data_alignment,.dynamic_type,.dynamic_size,.dynamic_entsize,.dynamic_table_index_link,.dynamic_alignment,.dynstr_type,.dynstr_size,.dynsym_type,.dynsym_size,.dynsym_entsize,.dynsym_table_index_link,.dynsym_info,.dynsym_alignment,.fini_type,.fini_size,.fini_alignment,.hash_type,.hash_table_index_link,.hash_alignment,.gnu.hash_type,.gnu.hash_size,.gnu.hash_entsize,.gnu.hash_table_index_link,.gnu.hash_alignment,.init_type,.init_size,.init_alignment,.got_type,.got_flags,.got_size,.got_entsize,.got_alignment,.interp_type,.interp_size,.plt_type,.plt_flags,.plt_size,.plt_entsize,.plt_alignment,.rodata_type,.rodata_flags,.rodata_size,.rodata_entsize,.rodata_alignment,.shstrtab_size,.strtab_size,.symtab_size,.symtab_entsize,.symtab_table_index_link,.symtab_info,.symtab_alignment,.sbss_type,.sbss_flags,.rel.dyn_type,.rel.plt_type,.rel.plt_flags,.got.plt_type,.got.plt_size,.got.plt_entsize,.got.plt_alignment,STB_LOCAL,dynamic_s_c,STT_OBJECT_STB_GLOBAL,STT_OBJECT_STB_WEAK,STT_NOTYPE_STB_WEAK,STB_WEAK,STT_NOTYPE_STB_LOCAL,STT_FUNC,STT_FUNC_STB_GLOBAL,STT_NOTYPE_STB_GLOBAL,STB_GLOBAL,STT_NOTYPE,STT_OBJECT,STT_FUNC_STB_WEAK,s_STT_FUNC_STB_LOCAL,symbol_tab,s_STT_FUNC_STB_WEAK,s_STT_FUNC,s_STB_LOCAL,s_STT_FUNC_STB_GLOBAL,s_STB_GLOBAL,s_STB_WEAK,s_STT_OBJECT_STB_WEAK,s_STT_OBJECT,s_STT_OBJECT_STB_LOCAL,s_STT_NOTYPE,s_STT_NOTYPE_STB_GLOBAL,s_STT_NOTYPE_STB_WEAK,s_STT_NOTYPE_STB_LOCAL,s_STT_OBJECT_STB_GLOBAL,DYNRELAENT,DYNFINI,DYNPLTRELSZ,DYNVERNEEDNUM,DYNINIT_ARRAY,DYNSTRSZ,DYNSTRTAB,DYNPLTREL,DYNRELENT,DYN,DYNJMPREL,DYNSYMTAB,DYNRPATH,DYNFINI_ARRAYSZ,DYNNEEDED,DYNSYMENT,DYNCOUNT,DYNINIT,DYNRELSZ,DYNINIT_ARRAYSZ,DYNVERNEED,DYNRELASZ,DYNREL,DYNRELA,DYNPLTGOT,DYNHASH,DYNDEBUG,DYNFINI_ARRAY,DYNNULL,R_386_GLOB_DAT,R_386_JUMP_SLOT,R_386_COPY,GOT_SIZE,HASH_SIZE,label
5860ae6ae343805bfefc35fb5d133ab7db947fa64219c158c23e503f00c039cd,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,8048120,52,965476,0,52,32,5,40,28,25,PROGBITS,744640.0,32.0,NOBITS,33556.0,32.0,3690.0,0.0,PROGBITS,5300.0,32.0,,,,,,,,,,,,,,PROGBITS,26.0,4.0,,,,,,,,,PROGBITS,23.0,4.0,PROGBITS,WA,92.0,4.0,4.0,,,,,,,,PROGBITS,A,120986.0,0.0,32.0,294.0,168799.0,87728.0,10.0,27.0,1276.0,4.0,,,,,,PROGBITS,12.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,5483,2017,4224,1202,1595,1897,2290,242,920,402,245,26,31,188,276,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,M
9960d7b0f8731be1511396272769073bf772dbaba14159dc344f9e8b700f5ba9,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,8048168,52,69856,0,52,32,3,40,16,13,PROGBITS,51332.0,16.0,NOBITS,6684672.0,32.0,3024.0,0.0,PROGBITS,1152.0,32.0,,,,,,,,,,,,,,PROGBITS,23.0,1.0,,,,,,,,,PROGBITS,28.0,1.0,,,,,,,,,,,,,PROGBITS,A,12610.0,0.0,32.0,111.0,9015.0,11984.0,10.0,15.0,266.0,4.0,,,,,,PROGBITS,12.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,749,52,415,77,346,423,60,3,127,51,18,4,5,9,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,M
3093,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,400510,64,6832,0,64,56,9,64,31,28,PROGBITS,530.0,16.0,NOBITS,8.0,1.0,52.0,1.0,PROGBITS,24.0,8.0,DYNAMIC,464.0,10.0,6.0,8.0,STRTAB,91.0,DYNSYM,168.0,18.0,6.0,1.0,8.0,PROGBITS,9.0,4.0,,,,GNU_HASH,28.0,0.0,5.0,8.0,PROGBITS,26.0,4.0,PROGBITS,WA,8.0,8.0,8.0,PROGBITS,28.0,PROGBITS,AX,96.0,10.0,16.0,PROGBITS,A,17.0,0.0,4.0,268.0,620.0,1704.0,18.0,30.0,48.0,8.0,,,,,,PROGBITS,64.0,8.0,8.0,1,7,0,0,1,1,1,5,5,0,5,2,0,0,4,71,0,15,17,11,18,5,0,12,9,13,4,5,4,3,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,72,28,B
memtest86+.elf,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,10000,52,184260,0,52,32,1,40,3,2,,,,,,,,,PROGBITS,180144.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
d2a44dd4a0fe1ba46fbb19603a2f41070d04382f49075c890d028361e60962c6,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,8048164,52,44040,0,52,32,3,40,16,13,PROGBITS,36904.0,16.0,NOBITS,25792.0,32.0,1980.0,0.0,PROGBITS,732.0,32.0,,,,,,,,,,,,,,PROGBITS,23.0,1.0,,,,,,,,,PROGBITS,28.0,1.0,,,,,,,,,,,,,PROGBITS,A,4042.0,0.0,32.0,111.0,6276.0,8688.0,10.0,15.0,182.0,4.0,,,,,,PROGBITS,12.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,543,46,307,51,249,306,55,3,86,30,19,4,6,9,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,M
5d2f47ea8c87cd24ced2c5a5d327d0953cfdda620945780ade51dc2c155aac4b,7f 45 4c 46 01 02 01 00 00 00 00 00 00 00 00 00,Sparc,101a4,52,120908,0,52,32,3,40,24,21,PROGBITS,89112.0,4.0,NOBITS,25480.0,8.0,2916.0,0.0,PROGBITS,10004.0,8.0,,,,,,,,,,,,,,PROGBITS,20.0,4.0,,,,,,,,,PROGBITS,28.0,4.0,,,,,,,,,,,,,PROGBITS,A,14640.0,0.0,8.0,220.0,9751.0,12880.0,10.0,23.0,282.0,4.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,805,54,443,79,369,461,62,3,143,52,16,4,5,7,88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
2134c5225994f20fa11b07017a702cca1eaa98d79f6bf6260d566e21f08a482f,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,8048164,52,46288,0,52,32,3,40,10,9,PROGBITS,43846.0,16.0,NOBITS,1568.0,32.0,,,PROGBITS,108.0,4.0,,,,,,,,,,,,,,PROGBITS,23.0,1.0,,,,,,,,,PROGBITS,28.0,1.0,,,,,,,,,,,,,PROGBITS,A,7.0,0.0,32.0,62.0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M
splitfont,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,400a50,64,8656,0,64,56,9,64,29,28,PROGBITS,1378.0,16.0,NOBITS,16.0,32.0,,,PROGBITS,16.0,8.0,DYNAMIC,464.0,10.0,6.0,8.0,STRTAB,194.0,DYNSYM,408.0,18.0,6.0,1.0,8.0,PROGBITS,9.0,4.0,,,,GNU_HASH,36.0,0.0,5.0,8.0,PROGBITS,26.0,4.0,PROGBITS,WA,8.0,8.0,8.0,PROGBITS,28.0,PROGBITS,AX,240.0,10.0,16.0,PROGBITS,A,372.0,0.0,8.0,258.0,,,,,,,,,,,,PROGBITS,136.0,8.0,8.0,1,17,1,0,1,1,1,14,14,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,22,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,144,36,B
54877b4995367a5e51699fe390ecc09e75750b919c0d2c361c0ce05430c96d6d,7f 45 4c 46 01 01 01 00 00 00 00 00 00 00 00 00,Intel 80386,8048164,52,106640,0,52,32,3,40,16,13,PROGBITS,0.0,16.0,NOBITS,26372.0,32.0,3168.0,0.0,PROGBITS,22848.0,32.0,,,,,,,,,,,,,,PROGBITS,23.0,1.0,,,,,,,,,PROGBITS,28.0,1.0,,,,,,,,,,,,,PROGBITS,A,20994.0,0.0,32.0,111.0,9569.0,12784.0,10.0,15.0,275.0,4.0,,,,,,PROGBITS,12.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,799,53,443,78,373,463,61,3,141,52,18,4,5,9,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,M
lzmainfo,7f 45 4c 46 02 01 01 00 00 00 00 00 00 00 00 00,Advanced Micro Devices X86-64,400e7a,64,8712,0,64,56,9,64,28,27,PROGBITS,1810.0,16.0,NOBITS,64.0,32.0,,,PROGBITS,16.0,8.0,DYNAMIC,480.0,10.0,6.0,8.0,STRTAB,428.0,DYNSYM,744.0,18.0,6.0,1.0,8.0,PROGBITS,9.0,4.0,,,,GNU_HASH,60.0,0.0,5.0,8.0,PROGBITS,26.0,4.0,PROGBITS,WA,8.0,8.0,8.0,PROGBITS,28.0,PROGBITS,AX,352.0,10.0,16.0,PROGBITS,A,824.0,0.0,32.0,254.0,,,,,,,,,,,,PROGBITS,192.0,8.0,8.0,1,31,5,1,4,5,1,20,20,0,25,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,2,1,23,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,200,60,B
